^  Predicate  ^  Outline  (([pdt_search:find_definition_contained_in/10,pdt_search:loaded_file/1]))^  Search definitions  (([pdt_search:find_definitions_categorized/13,pdt_search:find_definitions_categorized/9,pdt_search:find_entity_definition/5,pdt_search:find_primary_definition_visible_in/7,pdt_search:find_alternative_predicates/7]))^  Search references  (([pdt_search:find_reference_to/13,pdt_search:find_module_reference/8]))^  Search meta predicates  (([pdt_call_analysis:find_undeclared_meta_predicate/10]))^  Search completions  (([pdt_search:find_completion/12]))^  Create graphs  (([pl_to_graphML:write_focus_to_graphML/3,pl_to_graphML:write_global_to_graphML/2,pl_to_graphML:write_dependencies_to_graphML/3]))^  File consult state  (([source_files:pdt_source_file/2]))^  Console  (([pdt_console_server:pdt_start_console_server/2,pdt_console_server:pdt_stop_console_server/0]))^
| $apply:forall/2  |     |     |  x  |  x  |     |  x  |     |     |
| system:atom_to_term/3  |     |  x  |     |     |     |     |     |     |
| system:atomic_list_concat/2  |     |     |     |     |     |     |     |  x  |
| system:call_cleanup/2  |     |     |     |     |  x  |     |     |     |
| system:clause/3  |  x  |     |  x  |  x  |     |  x  |     |     |
| system:duplicate_term/2  |     |     |  x  |  x  |     |  x  |     |     |
| system:erase/1  |     |     |     |     |     |     |     |  x  |
| system:exists_file/1  |     |     |     |     |     |     |  x  |     |
| system:file_base_name/2  |  x  |  x  |     |     |  x  |     |     |     |
| system:file_directory_name/2  |  x  |  x  |     |     |  x  |     |     |     |
| system:file_name_extension/3  |  x  |  x  |     |     |  x  |     |     |     |
| system:flag/3  |     |     |     |     |     |     |     |  x  |
| system:format/3  |  x  |  x  |  x  |  x  |  x  |  x  |     |  x  |
| system:garbage_collect_atoms/0  |     |     |     |     |  x  |     |     |     |
| system:get_attr/3  |     |     |  x  |  x  |     |  x  |     |     |
| system:ignore/1  |     |     |     |     |  x  |     |     |     |
| system:is_list/1  |     |     |  x  |  x  |     |  x  |     |     |
| system:memberchk/2  |  x  |     |     |     |     |  x  |     |     |
| system:not/1  |     |     |     |     |     |  x  |     |     |
| system:nth_clause/3  |  x  |  x  |  x  |     |     |  x  |     |     |
| system:put_attr/3  |     |     |  x  |  x  |     |  x  |     |     |
| system:recorded/3  |     |     |     |     |     |     |     |  x  |
| system:same_term/2  |     |     |  x  |  x  |     |  x  |     |     |
| system:set_prolog_IO/3  |     |     |     |     |     |     |     |  x  |
| system:set_stream/2  |     |     |     |     |     |     |     |  x  |
| system:setarg/3  |     |     |  x  |  x  |     |  x  |     |     |
| system:setup_call_cleanup/3  |     |     |     |     |     |  x  |     |     |
| system:source_file/2  |  x  |     |     |     |     |  x  |     |     |
| system:statistics/2  |     |     |  x  |  x  |     |  x  |     |     |
| system:strip_module/3  |     |     |  x  |  x  |     |  x  |     |     |
| system:succ/2  |  x  |     |  x  |  x  |     |  x  |     |     |
| system:thread_exit/1  |     |     |     |     |     |     |     |  x  |
| system:time_file/2  |     |     |     |     |     |     |  x  |     |
| system:unifiable/3  |     |     |  x  |  x  |     |  x  |     |     |
| system:with_output_to/2  |     |     |     |     |  x  |     |     |     |
